Adam Graves,329,,0,0,7,9,7,26,36,52,17,22,33,23,38,23,10,17,9,0,0,0,0,0,0,0,0,0,0,0
Kevin Stevens ,329,,0,0,0,0,5,12,29,40,54,55,41,15,13,14,14,23,3,10,1,0,0,0,0,0,0,0,0,0
Mike Bullard,329,,0,1,36,22,51,32,41,30,48,27,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Hodge,328,,0,0,0,6,10,25,45,25,43,16,37,50,23,25,21,2,0,0,0,0,0,0,0,0,0,0,0,0
Chris Kreider,326,y,0,0,0,2,17,21,21,28,16,28,24,20,52,36,39,22,0,0,0,0,0,0,0,0,0,0,0,0
Vic Hadfield,323,,0,0,0,3,4,14,18,16,13,20,26,20,22,50,28,27,31,30,0,0,0,0,0,0,0,0,0,0
Bobby Carpenter,320,,32,32,28,53,27,9,19,16,25,8,25,11,19,5,5,4,9,2,0,0,0,0,0,0,0,0,0,0
Brayden Point,306,y,0,0,18,32,41,25,23,28,51,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikko Rantanen,294,y,0,0,20,29,31,19,30,36,55,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Reinhart,294,y,0,0,23,17,25,22,22,25,33,31,57,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Carson,275,,37,55,49,21,21,34,37,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Secord,273,,0,0,16,23,13,44,54,4,15,40,29,15,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Grant,263,,0,0,0,3,31,29,34,18,32,29,50,10,2,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Stoughton,258,,0,0,5,23,6,0,0,0,56,43,52,45,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Simpson,247,,11,26,56,35,29,30,24,24,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickey Redmond,233,,0,6,9,27,20,42,52,51,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Hyman,230,y,0,0,0,0,0,4,10,15,21,21,15,27,36,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Guy Chouinard,205,,0,0,17,28,50,31,31,23,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Leeman,199,,0,4,5,9,21,30,32,51,17,9,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakan Loob,193,,0,0,0,0,0,30,37,31,18,50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Babych,192,,0,0,27,26,54,19,16,13,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Cheechoo,170,,0,0,0,0,9,28,0,56,37,23,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacques Richard,160,,0,0,13,27,17,12,2,0,10,3,52,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
